UID        PID  PPID   LWP  C NLWP STIME TTY          TIME CMD
root         1     0     1  0    1 00:11 ?        00:00:02 /sbin/init
root         2     0     2  0    1 00:11 ?        00:00:00 [kthreadd]
root         3     2     3  0    1 00:11 ?        00:00:00 [ksoftirqd/0]
root         5     2     5  0    1 00:11 ?        00:00:00 [kworker/0:0H]
root         7     2     7  0    1 00:11 ?        00:00:00 [rcu_sched]
root         8     2     8  0    1 00:11 ?        00:00:00 [rcu_bh]
root         9     2     9  0    1 00:11 ?        00:00:00 [migration/0]
root        10     2    10  0    1 00:11 ?        00:00:00 [watchdog/0]
root        11     2    11  0    1 00:11 ?        00:00:00 [khelper]
root        12     2    12  0    1 00:11 ?        00:00:00 [kdevtmpfs]
root        13     2    13  0    1 00:11 ?        00:00:00 [netns]
root        14     2    14  0    1 00:11 ?        00:00:00 [khungtaskd]
root        15     2    15  0    1 00:11 ?        00:00:00 [writeback]
root        16     2    16  0    1 00:11 ?        00:00:00 [ksmd]
root        17     2    17  0    1 00:11 ?        00:00:00 [khugepaged]
root        18     2    18  0    1 00:11 ?        00:00:00 [crypto]
root        19     2    19  0    1 00:11 ?        00:00:00 [kintegrityd]
root        20     2    20  0    1 00:11 ?        00:00:00 [bioset]
root        21     2    21  0    1 00:11 ?        00:00:00 [kblockd]
root        23     2    23  0    1 00:11 ?        00:00:00 [kswapd0]
root        24     2    24  0    1 00:11 ?        00:00:00 [vmstat]
root        25     2    25  0    1 00:11 ?        00:00:00 [fsnotify_mark]
root        31     2    31  0    1 00:11 ?        00:00:00 [kthrotld]
root        32     2    32  0    1 00:11 ?        00:00:00 [ipv6_addrconf]
root        33     2    33  0    1 00:11 ?        00:00:00 [deferwq]
root        68     2    68  0    1 00:11 ?        00:00:00 [ata_sff]
root        69     2    69  0    1 00:11 ?        00:00:00 [scsi_eh_0]
root        70     2    70  0    1 00:11 ?        00:00:00 [scsi_tmf_0]
root        71     2    71  0    1 00:11 ?        00:00:00 [scsi_eh_1]
root        72     2    72  0    1 00:11 ?        00:00:00 [scsi_tmf_1]
root        75     2    75  0    1 00:11 ?        00:00:00 [khubd]
root        76     2    76  0    1 00:11 ?        00:00:00 [kpsmoused]
root        79     2    79  0    1 00:11 ?        00:00:00 [scsi_eh_2]
root        80     2    80  0    1 00:11 ?        00:00:00 [scsi_tmf_2]
root        81     2    81  0    1 00:11 ?        00:00:00 [scsi_eh_3]
root        82     2    82  0    1 00:11 ?        00:00:00 [scsi_tmf_3]
root        83     2    83  0    1 00:11 ?        00:00:00 [scsi_eh_4]
root        84     2    84  0    1 00:11 ?        00:00:00 [scsi_tmf_4]
root        85     2    85  0    1 00:11 ?        00:00:00 [scsi_eh_5]
root        86     2    86  0    1 00:11 ?        00:00:00 [scsi_tmf_5]
root        87     2    87  0    1 00:11 ?        00:00:00 [scsi_eh_6]
root        88     2    88  0    1 00:11 ?        00:00:00 [scsi_tmf_6]
root        89     2    89  0    1 00:11 ?        00:00:00 [scsi_eh_7]
root        90     2    90  0    1 00:11 ?        00:00:00 [scsi_tmf_7]
root        91     2    91  0    1 00:11 ?        00:00:00 [scsi_eh_8]
root        92     2    92  0    1 00:11 ?        00:00:00 [scsi_tmf_8]
root        93     2    93  0    1 00:11 ?        00:00:00 [scsi_eh_9]
root        94     2    94  0    1 00:11 ?        00:00:00 [scsi_tmf_9]
root        95     2    95  0    1 00:11 ?        00:00:00 [scsi_eh_10]
root        96     2    96  0    1 00:11 ?        00:00:00 [scsi_tmf_10]
root        97     2    97  0    1 00:11 ?        00:00:00 [scsi_eh_11]
root        98     2    98  0    1 00:11 ?        00:00:00 [scsi_tmf_11]
root        99     2    99  0    1 00:11 ?        00:00:00 [scsi_eh_12]
root       100     2   100  0    1 00:11 ?        00:00:00 [scsi_tmf_12]
root       101     2   101  0    1 00:11 ?        00:00:00 [scsi_eh_13]
root       102     2   102  0    1 00:11 ?        00:00:00 [scsi_tmf_13]
root       103     2   103  0    1 00:11 ?        00:00:00 [scsi_eh_14]
root       104     2   104  0    1 00:11 ?        00:00:00 [scsi_tmf_14]
root       105     2   105  0    1 00:11 ?        00:00:00 [scsi_eh_15]
root       106     2   106  0    1 00:11 ?        00:00:00 [scsi_tmf_15]
root       107     2   107  0    1 00:11 ?        00:00:00 [scsi_eh_16]
root       108     2   108  0    1 00:11 ?        00:00:00 [scsi_tmf_16]
root       109     2   109  0    1 00:11 ?        00:00:00 [scsi_eh_17]
root       110     2   110  0    1 00:11 ?        00:00:00 [scsi_tmf_17]
root       111     2   111  0    1 00:11 ?        00:00:00 [scsi_eh_18]
root       112     2   112  0    1 00:11 ?        00:00:00 [scsi_tmf_18]
root       113     2   113  0    1 00:11 ?        00:00:00 [scsi_eh_19]
root       114     2   114  0    1 00:11 ?        00:00:00 [scsi_tmf_19]
root       115     2   115  0    1 00:11 ?        00:00:00 [scsi_eh_20]
root       116     2   116  0    1 00:11 ?        00:00:00 [scsi_tmf_20]
root       117     2   117  0    1 00:11 ?        00:00:00 [scsi_eh_21]
root       118     2   118  0    1 00:11 ?        00:00:00 [scsi_tmf_21]
root       119     2   119  0    1 00:11 ?        00:00:00 [scsi_eh_22]
root       120     2   120  0    1 00:11 ?        00:00:00 [scsi_tmf_22]
root       121     2   121  0    1 00:11 ?        00:00:00 [scsi_eh_23]
root       122     2   122  0    1 00:11 ?        00:00:00 [scsi_tmf_23]
root       123     2   123  0    1 00:11 ?        00:00:00 [scsi_eh_24]
root       124     2   124  0    1 00:11 ?        00:00:00 [scsi_tmf_24]
root       125     2   125  0    1 00:11 ?        00:00:00 [scsi_eh_25]
root       126     2   126  0    1 00:11 ?        00:00:00 [scsi_tmf_25]
root       127     2   127  0    1 00:11 ?        00:00:00 [scsi_eh_26]
root       128     2   128  0    1 00:11 ?        00:00:00 [scsi_tmf_26]
root       129     2   129  0    1 00:11 ?        00:00:00 [scsi_eh_27]
root       130     2   130  0    1 00:11 ?        00:00:00 [scsi_tmf_27]
root       131     2   131  0    1 00:11 ?        00:00:00 [scsi_eh_28]
root       132     2   132  0    1 00:11 ?        00:00:00 [scsi_tmf_28]
root       133     2   133  0    1 00:11 ?        00:00:00 [scsi_eh_29]
root       134     2   134  0    1 00:11 ?        00:00:00 [scsi_tmf_29]
root       135     2   135  0    1 00:11 ?        00:00:00 [scsi_eh_30]
root       136     2   136  0    1 00:11 ?        00:00:00 [scsi_tmf_30]
root       137     2   137  0    1 00:11 ?        00:00:00 [scsi_eh_31]
root       138     2   138  0    1 00:11 ?        00:00:00 [scsi_tmf_31]
root       163     2   163  0    1 00:11 ?        00:00:00 [kworker/u2:28]
root       164     2   164  0    1 00:11 ?        00:00:00 [kworker/u2:29]
root       168     2   168  0    1 00:11 ?        00:00:00 [kworker/0:1H]
root       190     2   190  0    1 00:11 ?        00:00:00 [jbd2/sda1-8]
root       191     2   191  0    1 00:11 ?        00:00:00 [ext4-rsv-conver]
root       222     2   222  0    1 00:11 ?        00:00:00 [kauditd]
root       227     1   227  0    1 00:11 ?        00:00:01 /lib/systemd/systemd-journald
root       234     1   234  0    1 00:11 ?        00:00:00 /lib/systemd/systemd-udevd
root       287     2   287  0    1 00:11 ?        00:00:00 [ttm_swap]
systemd+   343     1   343  0    2 00:11 ?        00:00:00 /lib/systemd/systemd-timesyncd
systemd+   343     1   357  0    2 00:11 ?        00:00:00 /lib/systemd/systemd-timesyncd
root       464     1   464  0    1 00:11 ?        00:00:00 /sbin/rpcbind -w
statd      473     1   473  0    1 00:11 ?        00:00:00 /sbin/rpc.statd
root       478     2   478  0    1 00:11 ?        00:00:00 [rpciod]
root       480     2   480  0    1 00:11 ?        00:00:00 [nfsiod]
root       487     1   487  0    1 00:11 ?        00:00:00 /usr/sbin/rpc.idmapd
root       489     1   489  0    3 00:11 ?        00:00:00 /usr/lib/accountsservice/accounts-daemon
root       489     1   508  0    3 00:11 ?        00:00:00 /usr/lib/accountsservice/accounts-daemon
root       489     1   515  0    3 00:11 ?        00:00:00 /usr/lib/accountsservice/accounts-daemon
root       490     1   490  0    1 00:11 ?        00:00:00 /usr/sbin/cron -f
root       491     1   491  0    3 00:11 ?        00:00:00 /usr/sbin/ModemManager
root       491     1   512  0    3 00:11 ?        00:00:00 /usr/sbin/ModemManager
root       491     1   516  0    3 00:11 ?        00:00:00 /usr/sbin/ModemManager
root       492     1   492  0    4 00:11 ?        00:00:00 /usr/sbin/rsyslogd -n
root       492     1   504  0    4 00:11 ?        00:00:00 /usr/sbin/rsyslogd -n
root       492     1   505  0    4 00:11 ?        00:00:00 /usr/sbin/rsyslogd -n
root       492     1   506  0    4 00:11 ?        00:00:00 /usr/sbin/rsyslogd -n
avahi      493     1   493  0    1 00:11 ?        00:00:00 avahi-daemon: running [OSC.local]
root       495     1   495  0    4 00:11 ?        00:00:00 /usr/sbin/NetworkManager --no-daemon
root       495     1   568  0    4 00:11 ?        00:00:00 /usr/sbin/NetworkManager --no-daemon
root       495     1   575  0    4 00:11 ?        00:00:00 /usr/sbin/NetworkManager --no-daemon
root       495     1   576  0    4 00:11 ?        00:00:00 /usr/sbin/NetworkManager --no-daemon
daemon     498     1   498  0    1 00:11 ?        00:00:00 /usr/sbin/atd -f
message+   500     1   500  0    1 00:11 ?        00:00:00 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation
avahi      503   493   503  0    1 00:11 ?        00:00:00 avahi-daemon: chroot helper
root       518     1   518  0    1 00:11 ?        00:00:00 /lib/systemd/systemd-logind
root       527     1   527  0    1 00:11 ?        00:00:00 /usr/sbin/acpid
root       528     1   528  0    1 00:11 ?        00:00:00 /usr/sbin/cupsd -f
root       529     1   529  0    1 00:11 ?        00:00:00 /usr/sbin/cups-browsed
root       534     1   534  0    1 00:11 ?        00:00:00 /usr/sbin/sshd -D
root       541     1   541  0    1 00:11 ?        00:00:00 /usr/sbin/minissdpd -i 0.0.0.0
root       542     1   542  0    3 00:11 ?        00:00:00 /usr/lib/policykit-1/polkitd --no-debug
root       542     1   550  0    3 00:11 ?        00:00:00 /usr/lib/policykit-1/polkitd --no-debug
root       542     1   551  0    3 00:11 ?        00:00:00 /usr/lib/policykit-1/polkitd --no-debug
root       544     1   544  0    1 00:11 tty1     00:00:00 /sbin/agetty --noclear tty1 linux
root       565     1   565  0    4 00:11 ?        00:00:00 /usr/sbin/gdm3
root       565     1   577  0    4 00:11 ?        00:00:00 /usr/sbin/gdm3
root       565     1   578  0    4 00:11 ?        00:00:00 /usr/sbin/gdm3
root       565     1   582  0    4 00:11 ?        00:00:00 /usr/sbin/gdm3
root       574     2   574  0    1 00:11 ?        00:00:00 [cfg80211]
root       585   565   585  6    1 00:11 tty7     00:06:09 /usr/bin/Xorg :0 -novtswitch -background none -noreset -verbose 3 -auth /var/run/gdm3/auth-for-Debian-gdm-VUhjxd/database -seat seat0 -nolisten tcp vt7
Debian-+   845     1   845  0    1 00:11 ?        00:00:00 /usr/sbin/exim4 -bd -q30m
Debian-+   902     1   902  0    1 00:11 ?        00:00:00 /lib/systemd/systemd --user
Debian-+   903   902   903  0    1 00:11 ?        00:00:00 (sd-pam)  
root       933     1   933  0    3 00:11 ?        00:00:00 /usr/lib/upower/upowerd
root       933     1   934  0    3 00:11 ?        00:00:00 /usr/lib/upower/upowerd
root       933     1   935  0    3 00:11 ?        00:00:00 /usr/lib/upower/upowerd
colord     945     1   945  0    3 00:11 ?        00:00:00 /usr/lib/colord/colord
colord     945     1   950  0    3 00:11 ?        00:00:00 /usr/lib/colord/colord
colord     945     1   951  0    3 00:11 ?        00:00:00 /usr/lib/colord/colord
Debian-+   954     1   954  0    2 00:11 ?        00:00:00 /usr/bin/pulseaudio --start --log-target=syslog
Debian-+   954     1   960  0    2 00:11 ?        00:00:00 /usr/bin/pulseaudio --start --log-target=syslog
rtkit      955     1   955  0    3 00:11 ?        00:00:00 /usr/lib/rtkit/rtkit-daemon
